Handle,Title,Vendor,Variant SKU,Variant Price,Cost per item
summer-bundle-pack,Summer Bundle Pack,Aurora Home & Living,SUMMER-PACK,68.75,58
lavender-candle,Lavender Candle,Aurora Home & Living,CANDLE-LAV,24,8
vanilla-candle,Vanilla Candle,Aurora Home & Living,CANDLE-VAN,24,8
ceramic-mug,Ceramic Mug,Aurora Home & Living,MUG-CERAMIC,18,6.5
knit-throw-blanket,Knit Throw Blanket,Aurora Home & Living,THROW-BLANKET,45,41.5
reed-diffuser,Reed Diffuser,Aurora Home & Living,DIFFUSER-REED,30,10
canvas-tote-bag,Canvas Tote Bag,Aurora Home & Living,TOTE-CANVAS,16,5
kraft-notebook,Kraft Notebook,Aurora Home & Living,NOTEBOOK-KRAFT,9,3
handmade-soap-bar,Handmade Soap Bar,Aurora Home & Living,SOAP-BAR,7,2.5
ceramic-vase,Ceramic Vase,Aurora Home & Living,VASE-CERAMIC,22,
